"title","image_filename","dimensions","description","status"
"Duke","Duke.jpeg","3.2 x 3.2""","","available"
"Dunkirk Artifact","Dunkirk Artifact.jpeg","2.5 x 1.5""","","available"
"D–6/7517.17.23: This Morning I Witnessed . . . ","D-6 7517_0.jpeg","3 x 4""","Colored pencil on acid-free paper","available"
"Echo / Pagan Island","Echo - Pagan Island.jpeg","6 x 3""","","available"
"Echo 2: Swamp Ghost","Echo 2 - Swamp Ghost.jpeg","2.5 x 2""","","available"
"Echo 3 — Ghosts of War: The Knight","Echo 3 - Ghosts of War - The Knight.jpeg","5 x 2""","","available"
"Eggy","Eggy.jpeg","3.5 x 2.5""","","available"
"Emergence","Emergence.jpeg","5 x 4""","","available"
"The Enlightenment","The Enlightenment.jpeg","4.7 x 3.5""","","available"
"Enslaught Dimitnor — Floro","Enslaught Dimitnor.jpeg","4.5 x 3.5""","","available"
"Eve: Colony 16 / First Born","Eve Colony 16.jpeg","3 x 2.5""","","available"
"Eye of Illusive Mangus`","Eye of Illusive Mangus.jpeg","3 x 2.5""","","available"
"Face Before Time","Face before Time_1.jpeg","3.3 x 4.5","Colored pencil (?) on acid-free paper","available"
"Face to Face","Face to Face.jpeg","3 x 2""","","available"
"Fading Memory: Daisy","Fading Memory.jpeg","3 x 3""","","available"
"Fading Vision","Fading Vision.jpeg","4 x 3""","","available"
"Feeling Flighty","Feeling Flighty.jpeg","3.5 x 3""","","available"
"Field Sketch: Hunter","Field Sketch - Hunter.jpeg","3.5 x 3.5""","","available"
"Field Sketch: Illusive Condormax","Field Sketch . Illusive Condormax_1.jpeg","3.5 x 3.5""","Colored pencil on acid-free paper","available"
"Field Sketch: Seemorian Scout","Seemorian Scout_0.jpeg","3.5 x 6""","Pencil on acid-free paper","available"
"Field Sketch: Tao of the Hound","Field Sketch Tao of the Hound_0.jpeg","2.5 x 4""","Ink on acid-free paper","available"
"Field Study / Old Red","Field Study : Old Red.jpeg","5 x 4""","","available"
"First Contact Deception","First Contact Deception.jpeg","5 x 3""","","available"
"First Things Just Came to Be ...","First Things Just Come to Be.jpeg","4 x 4""","","available"
"Fish from Hell","Fish from Hell.jpeg","3 x 2.5""","","available"
"From the Other Side #1","From the Other Side #1.jpeg","3 x 2""","","available"
"From the Other Side #2","From the Other Side #2.jpeg","3 x 2.5""","","available"
"Georgia on My Mind","Georgia on My Mind 1.jpeg","4 x 3""","","available"
"Henge #1","Henge #1.jpeg","3 x 2""","","available"
"Highlands Nighthawk","Highlands Nighthawk.jpeg","3 x 2.5""","","available"
"Hobnil of the East Pillar","Hobnil of the East Pillar.jpeg","3 x 2""","","available"
"Hotak Mumblus","Hotak Mumblus_0.jpeg","3 x 2.5""","Colored pencil on acid-free paper","available"
"I Have No Need of Your Wheel","I Have No Need of Your Wheel.jpeg","7 x 3""","","available"
"Illusive Floro Spartanicus","Illusive Floro Spartanicus_1.jpeg","3.7 x 2.5""","Colored pencil on acid-free paper","available"
"In the Early Morning Mist","In the Early Morning Mist.jpeg","3.5 x 2.7""","","available"
"Indigo Castaways: Hint of Paris","Indigo Castaways_Hint of Paris_0.jpeg","3 x 3""","Colored pencil on acid-free paper","available"
"The Initiates","Initiates.jpeg","2.5 x 2.5""","","available"
"Insight","Insight.jpeg","2.7 x 2""","","available"
"Into the Light","Into the Light.jpeg","3.2 x 3""","","available"
"Isis Severs Nimrod's Head","Isis Severs Nimrod's Head.jpeg","5.7 x 3.5""","","available"
"It's Just a Cookie","It's Just a Cookie_0.jpeg","2 x 2.5""","Colored pencil on acid-free paper","available"
"Kahla Minx / Medicine, Etc.","Kahla Minx.jpeg","4 x 2""","","available"
"Keeper of Secrets","Keeper of Secrets.jpeg","3 x 2.5""","","available"
"The Last Apple","Last Apple_0.jpeg","2.5 x 3.3""","Colored pencil on acid-free paper","available"
"Last Glance","Last Glance.jpeg","2.7 x 2""","","available"
"The Last Look","The Last Look.jpeg","3.3 x 2""","","available"
"Last Stand","Last Stand 1.jpeg","3.5 x 2.2""","","available"
"Lives Beneath Teddy's Bed","Lives Beneath_0.jpeg","3 x 3""","Colored pencil on acid-free paper","available"
"Looking Out","Looking Out 1.jpeg","3 x 3""","","available"
"Loss","Loss.jpeg","3.5 x 2.5""","","available"
"Lost and Found","Lost and Found.jpeg","3 x 2.5""","","available"
"Lt. General Skitterning — Intelligence","Lt Gen Skitterning_1.jpeg","2.5 x 2.8""","Colored pencil on acid-free paper","available"
"Lt. Souk De — Recon — Floro Wars","Lt Souk De_1.jpeg","2.5 x 3""","Colored pencil on acid-free paper","available"
"Major Zekhat / Floro Grand Council","Major Zekhat_0.jpeg","3 x 3""","Colored pencil on acid-free paper","available"
"Messenger","Messenger.jpeg","2.5 x 2.2""","","available"
"MJ12","MJ12.jpeg","3.7 x 2.7""","","available"
"Mother Ship","Mother Ship.jpeg","3 x 2""","","available"
"New Beginnings","New Beginnings.jpeg","6.5 x 3""","","available"
"Old Man","Old Man.jpeg","2.2 x 2""","","available"
"Once Upon a Time ...","Once Upon a Time.jpeg","3.7 x 3""","","available"
"Out of Time #2","Out of Time #2.jpeg","4.2 x 4""","","available"
"Outcast Cletus","Outcast Cletus.jpeg","3.7 x 2.7""","","available"
"Outcast Petey","Outcast Petey.jpeg","3.7 x 2.7""","","available"
"Outcasts / Toby #3","Outcasts Toby #3_0.jpeg","1.5 x 3""","Colored pencil on acid-free paper","available"
"Outcasts: Sasha","Outcasts - Sasha.jpeg","3.3 x 3""","","available"
"Party Animal","Party Animal.jpeg","4.5 x 3.3""","","available"
"Path's End","Path's End.jpeg","4.5 x 3.3""","","available"
"Paying Respect","Paying Respect.jpeg","5.7 x 2""","","available"
"Preliminary Drawing: Watchers","Preliminary Drawing — Watchers.jpeg","2.5 x 2""","","available"
"Preparing for Death","Preparing for Death.jpeg","4 x 3""","","available"
"Princess Akna","Princess Akna_0.jpeg","2.3 x 1.5""","Colored pencil on acid-free paper","available"
"Profmahn Zander","Profmahn Zander ....jpeg","2.7 x 2.2""","","available"
"Queen Tomara, of the Little People, Awaits Her Final Curtain","Queen Tomara, of the Little People, Awaits Her Final Curtain.jpeg","5 x 2.5""","","available"
"Reaching Out","Reaching Out.jpeg","2 x 2""","","available"
"Red Tide","Red Tide.jpeg","3.7 x 3.3""","","available"
"Reflect / 16 Scout Ship / Floro Mountain Cave","Reflec : 16 Scout Ship ....jpeg","3.5 x 1""","","available"
"Return to Firebase ","Return to Firebase.jpeg","2 x 2""","","available"
"Ride Your Horse Along the Edge","Ride Your Horse Along the Edge.jpeg","6.3 x 2""","","available"
"Sacred Places / First Snow / Wilson Hollow","Sacred Places : First Snow : Winston Hollow.jpeg","3.5 x 2.2""","","available"
"Sacred Places: Memory of Mirror Peaks","Sacred Places - Memory of Mirror Peaks.jpeg","7 x 2.5""","","available"
"Saigon Matrix","Saigon Matrix_0.jpeg","3 x 1.5""","Tint on acid-free paper","available"
"Saving Face","Saving Face.jpeg","2.5 x 1.2""","","available"
"Seeing Is Believing","Seeing Is Believing.jpeg","5 x 4""","","available"
"Sgt. Levy O'Haj — Recon and Recovery ...","Sgt. Levy O'Haj.jpeg","4 x 2.5""","","available"
"Shape of Things to Come","Shape of Things to Come.jpeg","2.7 x 2.7""","","available"
"Siren of Deep Space","Siren of Deep Space.jpeg","3.7 x 3""","","available"
"Sky Over Podkamennaya Tunguska","Sky Over Podkamennaya_1.jpeg","3 x 3""","","available"
"Something Fishy","Something Fishy.jpeg","4.3 x 2.7""","","available"
"Spirit Guide","Spirit Guide.jpeg","4.3 x 3.5""","","available"
"Spring Arrives — Kafka's Flower","Spring Arrives - Kafka's Flower.jpeg","2.3 x 2.3""","","available"
"Supreme Dulex","Supreme Dulex_0.jpeg","2.0 x 2.5""","Colored pencil on acid-free paper","available"
"Through Kafka's Bedroom Window ... The Approaching Storm","Through Kafka's Bedroom Window ....jpeg","3.5 x 2""","","available"
"Torn Apart","Torn Apart.jpeg","2 x 1.7""","","available"
"Toys in the Attic — Little Alice","Toys in the Attic — Little Alice.jpeg","4 x 2.7""","","available"
"Trust Me ...","Trust Me ....jpeg","3 x 2.7""","","available"
"The Truth of Ascemtion","The Truth of Ascention.jpeg","3.3 x 2.7""","","available"
"Uber Rhino in the Morning Mist","Uber Rhino in the Morning Mist.jpeg","2.5 x 2.5""","","available"
"Up Against the Wall","Up Against the Wall.jpeg","4 x 2.5""","","available"
"Uqba ibn Nafi — Holy Desert Warrior","Uqba ibn Nafi.jpeg","4.5 x 3.5""","","available"
"Valdor Doxis","Valdor Doxis_0.jpeg","2.5 x 2.5""","Colored pencil on acid-free paper","available"
"Very Rare Squakmore","Very Rare Squakmore.jpeg","2.5 x 2.5""","","available"
"View from Kafka's Window — The Visitor","View from Kafka's Window — The Visitor.jpeg","3 x 2""","","available"
"Voyager — Running Silent","Voyager - Running Silent.jpeg","7.5 x 4.5""","","available"
"Waldo","Waldo.jpeg","3 x 2.7""","","available"
"We All Fall Down","We All Fall Down.jpeg","3.5 x 2.5""","","available"
"Weathering the Storm","Weathering the Storm.jpeg","4.5 x 3.5""","","available"
"Wind Song Hill","Wind Song Hill.jpeg","2.3 x 2.3""","","available"
"Winter Comes ...","Winter Comes.jpeg","3.7 x 2.7""","","available"
"Witness","Witness.jpeg","3 x 2""","","available"
"Wize One","Wize One_0_0.jpeg","4.5 x 7.5""","Tint on acid-free paper
","available"
"The Woodsman","The Woodsman.jpeg","3.5 x 1.7""","","available"
"X3Y2 / Terminator Prime","X3V2_0.jpeg","3.5 x 4""","Colored pencil on acid-free paper","available"
"Zat: Intern — Gray Fleet — 1976 Abduction","Zat.jpeg","3.3 x 2.3""","","available"
"Zerch Montaxica — Floro Desert","Zerche Montaxica.jpeg","2.2 x 1.3""","","available"
